HEADER	6	2	5	100	10
ADDITIONALCAPACITYCOST	200000	350000	200000	330000	150000	400000
PRODUCTIONFACTOR	8	8	11	6	12	4
BOM	1	1	1	57
BOM	1	2	2	89
BOM	1	3	4	62
BOM	1	4	5	33
BOM	1	5	6	54
BOM	2	1	1	60
BOM	2	2	3	94
BOM	2	3	4	53
BOM	2	4	5	41
BOM	2	5	6	69
ORDER	1	1	1	2	159	324360
ORDER	2	1	1	2	157	428610
ORDER	3	1	1	3	504	131040
ORDER	4	1	1	3	25	51000
ORDER	5	2	1	3	153	326196
ORDER	6	2	1	3	152	353704
ORDER	7	1	1	3	185	471750
ORDER	8	2	1	3	229	654940
ORDER	9	1	1	3	209	213180
ORDER	10	1	2	3	189	103950
ORDER	11	1	2	3	175	152250
ORDER	12	1	2	4	195	466050
ORDER	13	2	2	4	374	359788
ORDER	14	1	2	4	157	157000
ORDER	15	1	2	4	230	779700
ORDER	16	2	2	4	153	358020
ORDER	17	1	2	5	119	336770
ORDER	18	1	3	5	584	192720
ORDER	19	2	3	5	222	611832
ORDER	20	1	3	5	221	817700
ORDER	21	1	3	5	152	299440
ORDER	22	1	3	6	152	334400
ORDER	23	1	3	6	168	490560
ORDER	24	1	4	6	177	375240
ORDER	25	2	4	6	577	2467829
ORDER	26	1	4	6	170	610300
ORDER	27	2	4	7	234	836550
ORDER	28	2	4	7	160	432640
ORDER	29	1	4	7	210	764400
ORDER	30	1	4	7	549	1520730
ORDER	31	1	4	7	242	324280
ORDER	32	2	4	7	589	1523743
ORDER	33	1	4	8	194	172660
ORDER	34	1	4	8	161	304290
ORDER	35	1	5	8	149	195190
ORDER	36	2	5	8	245	566930
ORDER	37	2	5	8	207	976833
ORDER	38	2	5	8	199	889928
ORDER	39	1	5	9	535	1776200
ORDER	40	2	5	9	901	1030744
ORDER	41	1	5	9	158	267020
ORDER	42	1	5	9	460	630200
ORDER	43	1	7	9	165	577500
ORDER	44	1	7	10	197	695410
ORDER	45	2	7	10	189	356265
ORDER	46	1	7	10	543	646170
ORDER	47	1	7	10	172	455800
ORDER	48	2	7	10	245	433160
ORDER	49	1	7	11	215	610600
ORDER	50	1	7	11	239	602280
ORDER	51	1	7	11	154	343420
ORDER	52	1	7	11	188	712520
ORDER	53	1	7	11	249	642420
ORDER	54	1	8	12	176	637120
ORDER	55	1	8	12	242	917180
ORDER	56	1	8	12	152	553280
ORDER	57	1	8	12	237	455040
ORDER	58	1	8	12	212	40280
ORDER	59	2	8	12	180	758160
ORDER	60	1	9	13	169	234910
ORDER	61	1	9	13	261	527220
ORDER	62	1	9	13	229	217550
ORDER	63	1	9	13	211	103390
ORDER	64	1	9	13	213	17040
ORDER	65	1	10	14	234	493740
ORDER	66	2	10	14	681	230178
ORDER	67	2	10	14	218	507286
ORDER	68	1	10	14	800	1144000
ORDER	69	1	12	14	273	461370
ORDER	70	1	12	15	260	140400
ORDER	71	2	12	15	211	565058
ORDER	72	1	12	15	589	70680
ORDER	73	1	12	15	156	517920
ORDER	74	1	12	15	196	229320
ORDER	75	1	12	16	232	229680
ORDER	76	1	12	16	220	521400
ORDER	77	2	13	16	849	507702
ORDER	78	1	13	16	179	442130
ORDER	79	2	13	16	176	876304
ORDER	80	1	13	16	187	284240
ORDER	81	1	13	17	196	621320
ORDER	82	1	13	17	200	522000
ORDER	83	1	13	17	191	546260
ORDER	84	1	13	17	211	261640
ORDER	85	2	13	17	176	340912
ORDER	86	1	13	18	212	805600
ORDER	87	1	13	18	228	435480
ORDER	88	1	13	18	197	364450
ORDER	89	1	14	18	474	1085460
ORDER	90	1	14	18	163	66830
ORDER	91	1	14	19	185	238650
ORDER	92	1	14	19	183	294630
ORDER	93	2	17	19	264	346632
ORDER	94	1	17	19	696	626400
ORDER	95	1	17	19	245	921200
ORDER	96	1	17	20	237	14220
ORDER	97	2	17	20	730	3615690
ORDER	98	1	17	20	177	17700
ORDER	99	2	17	20	212	724828
ORDER	100	1	17	20	225	301500
